"lakeid","year4","sampledate","gearid","spname","depth","rep","length","weight","sex","fishpart"
"WI",1995,"1995-08-21","CRAYTR","BLACKCRAPPIE",1.5,15,45,1,,
"WI",1995,"1995-08-21","CRAYTR","BLACKCRAPPIE",1.2,9,36,0.5,,
"WI",1995,"1995-08-21","CRAYTR","BLACKCRAPPIE",1.2,9,29,0.4,,
"WI",1995,"1995-08-21","CRAYTR","BLACKCRAPPIE",1.2,10,29,0.5,,
"WI",1995,"1995-08-21","CRAYTR","BLACKCRAPPIE",1.2,6,40,0.9,,
"WI",1995,"1995-08-21","CRAYTR","BLACKCRAPPIE",1.2,7,30,0.7,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,28,0.5,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,35,0.65,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,0.3,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,34,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,39,0.8,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,29,0.3,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,37,0.9,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,41,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,40,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,25,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,29,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,36,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,31,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,30,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,29,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,30,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,28,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,33,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,28,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,29,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,22,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,23,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,28,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,28,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,31,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,30,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,25,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,31,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,31,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,35,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,30,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,29,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,36,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,40,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,38,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,41,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,26,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,26,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,28,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,30,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,41,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,28,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,24,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,42,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,34,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,40,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,41,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,31,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,34,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,37,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,31,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,36,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,28,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,30,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,25,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,31,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,35,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,30,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,27,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,1,37,,,
"WI",1995,"1995-08-21","TRAMML","BLACKCRAPPIE",-1,1,190,98,,
"WI",1995,"1995-08-21","TRAMML","BLACKCRAPPIE",-1,1,198,97,,
"WI",1995,"1995-08-21","TRAMML","BLACKCRAPPIE",-1,1,192,98,,
"WI",1995,"1995-08-21","VGN064","BLACKCRAPPIE",-2,1,216,112,,
"WI",1995,"1995-08-21","BSEINE","BLACKCRAPPIE",-1,1,43,0.5,,
"WI",1995,"1995-08-21","BSEINE","BLACKCRAPPIE",-1,1,152,50,,
"WI",1995,"1995-08-21","BSEINE","BLACKCRAPPIE",-1,1,141,39,,
"WI",1995,"1995-08-21","CRAYTR","BLACKCRAPPIE",0.6,2,25,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,37,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,30,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,40,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,31,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,28,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,24,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,30,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,35,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,25,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,28,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,2,29,,,
"WI",1995,"1995-08-21","BSEINE","BLACKCRAPPIE",-1,2,260,215,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,3,147,42.5,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,3,39,0.9,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,3,24,0.3,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,3,33,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,3,25,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,3,25,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,3,25,,,
"WI",1995,"1995-08-21","FYKNET","BLACKCRAPPIE",-1,3,25,,,
"WI",1995,"1995-08-21","FYKNET","BLUEGILL",-1,3,96,,,
"WI",1995,"1995-08-21","FYKNET","BLUEGILL",-1,1,365,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,31,0.5,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,32,0.75,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,37,0.75,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,28,0.3,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,42,1.3,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,36,0.5,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,32,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,33,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,29,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,29,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,27,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,34,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,38,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,37,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,33,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,34,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,33,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,29,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,28,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,32,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,37,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,43,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,32,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,43,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,44,1.3,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,38,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,38,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,37,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,36,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,27,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,33,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,32,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,31,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,33,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,31,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,34,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,30,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,29,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,26,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,28,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,27,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,41,0.5,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,28,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,27,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,26,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,25,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,24,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,26,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,24,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,29,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,28,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,29,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,30,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,33,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,28,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,34,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,34,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,41,0.7,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,36,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,37,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,38,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,44,1.2,,"S"
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,46,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,42,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,41,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,42,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,41,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,43,,,
"WI",1995,"1995-08-21","BSEINE","BLUEGILL",-1,1,82,10.5,,"S"
